Att1,Att2,Att3,Att4,Att5,Att6,Att7,Att8,Att9,Att10,Att11,Att12,Att13,Att14,Att15,Att16,Att17,Att18,Att19,Att20,Att21,Att22,Att23,Att24,Att25,Att26,Att27,Att28,Att29,Att30,Att31,Att32,Att33,label
0.414639,0.520015,0.012751,0.368318,0.038507,0.05504,0.331367,0.034909,0.031808,0.019347,0.038936,0.016366,0.045114,0.009371,0.007906,0.02605,0.033928,0.009666,0.005143,0.012416,0.009426,0.016455,0.00349,0.004748,0.006856,0.009106,0.023019,0.094217,0.044755,0.028505,0.01208,0.011823,0.011114,1
0.475893,0.142729,0.21548,0.287264,0.005651,0.423789,0.375073,0.039337,0.057185,0.047745,0.019929,0.182228,0.034696,0.125202,0.02095,0.009455,0.018678,0.112335,0.178835,0.052142,0.02906,0.021735,0.019129,0.008388,0.033135,0.01915,0.012313,0.010489,0.006943,0.0315,0.116911,0.303989,0.235196,0
0.565246,0.166386,0.248528,0.007333,0.323715,0.493255,0.443322,0.019372,0.039323,0.018376,0.010299,0.010902,0.07398,0.010342,0.008333,0.022127,0.011359,0.004196,0.007558,0.020844,0.07869,0.027779,0.007799,0.006318,0.005002,0.005544,0.003571,0.019975,0.015833,0.004319,0.007585,0.006858,0.008282,0
0.734614,0.224398,0.324266,0.017671,0.424825,0.530617,0.496183,0.034993,0.02698,0.046355,0.023125,0.062054,0.018037,0.014755,0.084375,0.045778,0.009105,0.027493,0.031404,0.015256,0.006415,0.007767,0.009196,0.034413,0.145087,0.088161,0.042038,0.021647,0.010166,0.011636,0.011378,0.022908,0.01129,1
0.185884,0.214022,0.028376,0.110881,0.167876,0.228342,0.152841,0.144329,0.134458,0.066013,0.095787,0.046743,0.040518,0.026982,0.056695,0.137978,0.075678,0.035907,0.01366,0.014551,0.017222,0.023428,0.01213,0.021335,0.035035,0.023319,0.032828,0.029983,0.011612,0.008744,0.009223,0.013489,0.015121,4
0.741585,0.226209,0.007353,0.329359,0.430289,0.541323,0.514457,0.02672,0.020606,0.026909,0.012084,0.043304,0.010521,0.005569,0.035712,0.040546,0.005709,0.009536,0.038436,0.00548,0.005425,0.005219,0.004641,0.012537,0.056816,0.087545,0.040994,0.024939,0.007926,0.004454,0.004692,0.011713,0.006635,1
0.192816,0.24845,0.177165,0.242275,0.017132,0.293805,0.245554,0.207514,0.211424,0.083269,0.189268,0.117662,0.125026,0.039614,0.047225,0.217802,0.184145,0.130792,0.073539,0.045509,0.034845,0.067344,0.023325,0.024785,0.021196,0.038867,0.093524,0.178389,0.088396,0.062462,0.039222,0.027208,0.031191,4
0.508732,0.145747,0.303463,0.221265,0.006421,0.449881,0.401255,0.019295,0.054476,0.066626,0.007468,0.221971,0.045551,0.040728,0.073459,0.01193,0.005573,0.029971,0.241731,0.140073,0.040914,0.021091,0.007851,0.063108,0.0068,0.028502,0.010679,0.00748,0.005554,0.007762,0.010731,0.080227,0.362213,2
0.39672,0.11848,0.176298,0.236283,0.290481,0.351499,0.257868,0.137082,0.137007,0.009873,0.148014,0.016856,0.07587,0.004657,0.0094,0.220586,0.144263,0.049254,0.017294,0.022101,0.008218,0.044824,0.00551,0.008823,0.004277,0.013977,0.121931,0.210668,0.068793,0.009713,0.008505,0.009224,0.029684,4
0.284366,0.024663,0.1714,0.258376,0.334293,0.412682,0.375964,0.110431,0.148653,0.095228,0.076967,0.08239,0.124129,0.074553,0.042886,0.069917,0.035102,0.02775,0.041842,0.066059,0.125213,0.13572,0.051119,0.049476,0.042,0.030095,0.026296,0.032931,0.032045,0.023478,0.025815,0.02416,0.030134,0
0.24969,0.321659,0.230531,0.308477,0.377757,0.006522,0.343549,0.009197,0.103159,0.100178,0.004014,0.082089,0.102312,0.007098,0.062002,0.0337,0.001692,0.006707,0.082401,0.174735,0.092949,0.028079,0.008749,0.013961,0.004387,0.010449,0.033863,0.006116,0.008494,0.005718,0.002222,0.008665,0.061748,2
0.49137,0.152118,0.589884,0.292516,0.211277,0.611755,0.589758,0.004831,0.01026,0.014788,0.003682,0.056084,0.009477,0.026408,0.00596,0.004398,0.003056,0.010165,0.054778,0.018401,0.009053,0.009875,0.005366,0.004656,0.008548,0.007988,0.004862,0.009573,0.005103,0.00852,0.013541,0.064666,0.095199,0
0.736675,0.223973,0.324942,0.434406,0.000727,0.536064,0.513032,0.004311,0.003842,0.0239,0.003839,0.041838,0.004479,0.003678,0.051109,0.02627,0.002695,0.005605,0.024135,0.005933,0.002867,0.004609,0.003656,0.009059,0.087006,0.068659,0.025796,0.00825,0.003176,0.005501,0.004411,0.015996,0.005709,3
0.018944,0.355217,0.018099,0.083134,0.253368,0.049924,0.216185,0.076718,0.049368,0.037347,0.035868,0.015394,0.062008,0.020055,0.010672,0.041144,0.012209,0.006404,0.006028,0.012897,0.063164,0.053016,0.016093,0.006912,0.006216,0.00497,0.007301,0.009169,0.011115,0.00999,0.006068,0.009741,0.010099,5
0.379406,0.482752,0.006302,0.341891,0.371719,0.449806,0.422484,0.024178,0.015592,0.015329,0.015289,0.059892,0.016401,0.004426,0.010427,0.12544,0.010647,0.003848,0.024194,0.006746,0.011419,0.006405,0.003888,0.004645,0.013887,0.085809,0.127512,0.083783,0.015799,0.007821,0.005028,0.005858,0.009557,1
0.244473,0.308584,0.22034,0.297067,0.571419,0.363233,0.451658,0.00762,0.047485,0.078493,0.0073,0.110415,0.04626,0.020733,0.014053,0.007773,0.005275,0.019592,0.118344,0.08863,0.04131,0.017205,0.006983,0.007853,0.011129,0.025198,0.006912,0.012078,0.005907,0.008669,0.012241,0.050453,0.101724,0
0.208302,0.014706,0.127868,0.188171,0.242514,0.163595,0.187514,0.246399,0.230271,0.154614,0.137995,0.129007,0.096219,0.080481,0.054385,0.115935,0.126342,0.144644,0.091946,0.073971,0.054043,0.055631,0.036627,0.033556,0.034497,0.026566,0.039382,0.061334,0.045706,0.06998,0.064448,0.060964,0.043753,4
0.665911,0.201582,0.001467,0.396224,0.290843,0.487494,0.462166,0.028908,0.018593,0.02592,0.021753,0.013223,0.006416,0.042626,0.024181,0.006127,0.020439,0.014904,0.008371,0.002243,0.004253,0.01257,0.043121,0.095785,0.035295,0.012039,0.005767,0.007473,0.005491,0.010116,0.006373,0.013811,0.021156,5
