Att1,Att2,Att3,Att4,Att5,Att6,Att7,Att8,Att9,Att10,Att11,Att12,Att13,Att14,Att15,Att16,Att17,Att18,Att19,Att20,Att21,Att22,Att23,Att24,Att25,Att26,Att27,Att28,Att29,Att30,Att31,Att32,Att33,label
0.116113,0.191337,0.137499,0.183798,0.22786,0.275494,0.17627,0.065175,0.017857,0.066897,0.034031,0.01163,0.016081,0.114983,0.064839,0.025065,0.009126,0.015962,0.010339,0.007007,0.003934,0.019093,0.065859,0.040488,0.00979,0.003844,0.008063,0.004772,0.003123,0.010285,0.026339,0.036142,0.018689,0
0.182955,0.30428,0.215099,0.289103,0.35622,0.427044,0.309747,0.006427,0.026316,0.108438,0.006226,0.269933,0.023065,0.069772,0.023898,0.002242,0.004822,0.066633,0.326495,0.154099,0.02124,0.01379,0.036135,0.003375,0.046727,0.022808,0.003332,0.006024,0.001499,0.004693,0.021967,0.20299,0.225974,5
0.234425,0.087027,0.181279,0.133737,0.270509,0.313197,0.229417,0.128515,0.12307,0.12203,0.249166,0.032972,0.130764,0.433736,0.116385,0.054504,0.036506,0.0729,0.034454,0.031606,0.07537,0.312695,0.465582,0.137724,0.050053,0.016337,0.016226,0.020758,0.011058,0.074072,0.117991,0.079147,0.049145,4
0.255056,0.096708,0.143812,0.189929,0.238441,0.282674,0.182768,0.122587,0.054652,0.281074,0.14528,0.110576,0.026203,0.296201,0.286206,0.11549,0.067492,0.029605,0.074789,0.048977,0.020504,0.028944,0.305599,0.420841,0.261671,0.053623,0.020094,0.054666,0.015731,0.013798,0.02876,0.1218,0.15306,4
0.298151,0.110693,0.167264,0.226588,0.280576,0.335751,0.23143,0.082161,0.081594,0.030395,0.08304,0.072125,0.043625,0.007207,0.030065,0.197413,0.072133,0.027409,0.026043,0.006825,0.037763,0.010624,0.01521,0.006996,0.012721,0.080119,0.126643,0.080494,0.007535,0.007632,0.006886,0.01641,0.009685,4
0.195639,0.31997,0.226793,0.001519,0.299067,0.027845,0.258904,0.02304,0.050925,0.053251,0.013035,0.065231,0.046595,0.012533,0.033133,0.012337,0.005164,0.009733,0.075031,0.109506,0.038485,0.012708,0.013707,0.017585,0.006994,0.00994,0.012972,0.006863,0.006988,0.009748,0.005359,0.014449,0.073921,5
0.208804,0.342143,0.017253,0.243535,0.22855,0.308874,0.238769,0.029944,0.094706,0.063059,0.032682,0.042691,0.107279,0.02773,0.025294,0.024825,0.01115,0.007732,0.040972,0.109176,0.103019,0.056959,0.039666,0.019278,0.013919,0.007391,0.012951,0.015225,0.012625,0.01642,0.008392,0.009527,0.02538,1
0.121931,0.209476,0.145508,0.199529,0.244295,0.292272,0.192001,0.111593,0.047408,0.216106,0.059127,0.078118,0.014586,0.121477,0.225373,0.114102,0.039881,0.025903,0.059608,0.02026,0.012658,0.005921,0.054806,0.227092,0.156422,0.031863,0.008304,0.016919,0.013291,0.00861,0.005389,0.031242,0.125256,0
0.360705,0.140067,0.203673,0.272489,0.006515,0.335575,0.280277,0.020913,0.021244,0.018821,0.019369,0.06391,0.007948,0.06214,0.010379,0.0053,0.017659,0.150469,0.069794,0.02411,0.007894,0.013969,0.007603,0.029286,0.016862,0.004936,0.004355,0.005017,0.006109,0.068778,0.149675,0.129021,0.03359,1
0.228803,0.086109,0.1325,0.178025,0.217994,0.264693,0.167959,0.069097,0.052614,0.05082,0.096024,0.011145,0.061932,0.192137,0.04849,0.027754,0.011171,0.071328,0.020805,0.010937,0.028855,0.132263,0.160057,0.050521,0.017442,0.015437,0.007393,0.008446,0.009662,0.098899,0.115573,0.064108,0.014724,0
0.398471,0.153752,0.296474,0.221302,0.001389,0.437907,0.37399,0.009916,0.022543,0.032706,0.00564,0.106828,0.020854,0.0261,0.022864,0.003485,0.003291,0.008812,0.15935,0.070732,0.018596,0.00661,0.015986,0.0178,0.007686,0.021508,0.004382,0.008121,0.004456,0.005761,0.009173,0.066607,0.242792,1
0.04596,0.168582,0.166397,0.050312,0.249937,0.33035,0.277097,0.074721,0.089996,0.061104,0.059532,0.043055,0.063158,0.029006,0.01267,0.016735,0.010425,0.007056,0.017351,0.033506,0.05421,0.047452,0.035971,0.020597,0.011775,0.005679,0.006223,0.00956,0.009542,0.012806,0.007736,0.007445,0.01301,5
0.254103,0.412965,0.144079,0.045475,0.239168,0.287611,0.187708,0.012377,0.003997,0.092954,0.081858,0.036473,0.002308,0.13488,0.093276,0.011133,0.024184,0.004671,0.046849,0.012991,0.013201,0.004251,0.199397,0.343919,0.143877,0.01092,0.003498,0.030448,0.005511,0.004898,0.003072,0.049078,0.098745,4
