Att1,Att2,Att3,Att4,Att5,Att6,Att7,Att8,Att9,Att10,Att11,Att12,Att13,Att14,Att15,Att16,Att17,Att18,Att19,Att20,Att21,Att22,Att23,Att24,Att25,Att26,Att27,Att28,Att29,Att30,Att31,Att32,Att33,label
0.378119,0.121672,0.254182,0.176099,0.286964,0.346799,0.237664,0.025672,0.025013,0.006517,0.045131,0.017526,0.019491,0.002812,0.006341,0.081958,0.037733,0.010415,0.006785,0.010078,0.004543,0.010681,0.00486,0.002716,0.002473,0.021475,0.081176,0.089607,0.021151,0.005202,0.003541,0.005777,0.003878,4
0.16475,0.220466,0.013855,0.160372,0.211334,0.125231,0.134899,0.165087,0.165994,0.239473,0.166632,0.110113,0.078937,0.109177,0.226741,0.124761,0.084431,0.062748,0.038041,0.051773,0.041687,0.053716,0.058934,0.083695,0.127843,0.09368,0.052544,0.057359,0.02953,0.043592,0.04476,0.037477,0.0273,0
0.333152,0.110682,0.170534,0.210383,0.25971,0.363632,0.25066,0.036779,0.032685,0.158782,0.039483,0.094048,0.012922,0.019334,0.200666,0.072757,0.029917,0.021227,0.011669,0.03211,0.010802,0.011739,0.011695,0.057377,0.149065,0.103987,0.037987,0.018166,0.010404,0.014959,0.009644,0.009643,0.010512,4
0.182247,0.245835,0.188296,0.23199,0.006458,0.283041,0.226243,0.106106,0.093367,0.066508,0.114047,0.049026,0.041655,0.017999,0.047946,0.145187,0.089504,0.047653,0.025858,0.022945,0.019527,0.026244,0.011562,0.008214,0.015884,0.040273,0.095936,0.088319,0.029731,0.015948,0.010479,0.014316,0.008779,0
0.308851,0.412294,0.0129,0.002364,0.36826,0.272379,0.343885,0.03621,0.033719,0.060275,0.062828,0.024954,0.014388,0.097974,0.041464,0.013299,0.04067,0.019257,0.010144,0.010426,0.012906,0.043386,0.09684,0.081119,0.037476,0.018653,0.01236,0.01857,0.012212,0.009683,0.02185,0.017236,0.010716,1
0.179893,0.245159,0.187135,0.230727,0.286061,0.34202,0.235968,0.116177,0.114234,0.03222,0.12997,0.029514,0.026564,0.007229,0.032186,0.161724,0.105817,0.042802,0.011072,0.008248,0.020682,0.015329,0.010406,0.006116,0.005832,0.032749,0.083215,0.061696,0.01182,0.006425,0.00694,0.017334,0.007171,2
0.435551,0.135663,0.217749,0.264361,0.011939,0.022944,0.211677,0.099254,0.109758,0.064046,0.118173,0.086025,0.058774,0.097623,0.039623,0.01918,0.095406,0.237994,0.073538,0.039166,0.02821,0.030656,0.022636,0.072358,0.029463,0.013834,0.015056,0.024852,0.047594,0.186889,0.227135,0.103518,0.032036,0
0.184462,0.255931,0.019056,0.237742,0.179079,0.35721,0.282335,0.167612,0.162439,0.079828,0.180634,0.060911,0.037945,0.027837,0.049342,0.11063,0.146519,0.106116,0.051327,0.038432,0.022091,0.027304,0.019423,0.019332,0.014001,0.01495,0.037414,0.056558,0.029483,0.023485,0.019195,0.015974,0.012933,2
0.151331,0.217015,0.163556,0.199402,0.245294,0.297403,0.194939,0.125589,0.061807,0.408285,0.110484,0.119355,0.015279,0.162207,0.449673,0.157661,0.06525,0.040916,0.067952,0.053181,0.027006,0.01464,0.063613,0.242951,0.193024,0.074369,0.026258,0.025761,0.028048,0.015058,0.012348,0.028712,0.098318,2
0.243265,0.340899,0.255552,0.314372,0.38912,0.114759,0.27173,0.006497,0.090974,0.102235,0.012487,0.032707,0.083437,0.01185,0.057166,0.014109,0.005213,0.008049,0.031802,0.155922,0.080435,0.035271,0.010524,0.006576,0.008432,0.00487,0.016305,0.012316,0.005944,0.007047,0.006125,0.007411,0.00811,1
